01/27/2017,California LA E M3,California LA ,Meet,1,cala,em3,x,cala-em3,CA,D
12/03/2016,California LA F1 M0,California LA ,Meet,1,cala,f1m0,x,cala-f1m0,CA,D
12/17/2016,California LA F1 M1,California LA ,Meet,1,cala,f1m1,x,cala-f1m1,CA,D
01/07/2017,California LA F1 M2,California LA ,Meet,1,cala,f1m2,x,cala-f1m2,CA,D
01/21/2017,California LA F1 M3,California LA ,Meet,1,cala,f1m3,x,cala-f1m3,CA,D
01/07/2017,California LA F2 M2,California LA ,Meet,1,cala,f2m2,x,cala-f2m2,CA,D
01/21/2017,California LA F2 M3,California LA ,Meet,1,cala,f2m3,x,cala-f2m3,CA,D
12/13/2016,California LA F3 M1,California LA ,Meet,1,cala,f3m1,x,cala-f3m1,CA,D
01/10/2017,California LA F3M2,California LA ,Meet,1,cala,f3m2,x,cala-f3m2,CA,D
01/23/2017,California LA F3M3,California LA ,Meet,1,cala,f3m3,x,cala-f3m3,CA,D
12/03/2016,California LA I M0,California LA ,Meet,1,cala,im0,x,cala-im0,CA,D
01/14/2017,California LA I M1,California LA ,Meet,1,cala,im1,x,cala-im1,CA,D
01/21/2017,California LA I M2,California LA ,Meet,1,cala,im2,x,cala-im2,CA,D
01/28/2017,California LA I M3,California LA ,Meet,1,cala,im3,x,cala-im3,CA,D
10/29/2016,Missouri M1 Octobo-Robo Fest,Missouri,Meet,1,mo,m1,x,mo-m1,MO,D
11/5/2016,Missouri M2 Vive Velocity Vortex!,Missouri,Meet,1,mo,m2,x,mo-m2,MO,D
11/12/2016,Missouri M3 Gator,Missouri,Meet,1,mo,m3,x,mo-m3,MO,D
11/12/2016,Missouri M4 Stover MO Robo Show,Missouri,Meet,1,mo,m4,x,mo-m4,MO,D
11/15/2016,Missouri M5 Eureka,Missouri,Meet,1,mo,m5,x,mo-m5,MO,D
11/19/2016,Missouri M6 Pattonville,Missouri,Meet,1,mo,m6,x,mo-m6,MO,D
11/19/2016,Missouri M7 Turkey Day,Missouri,Meet,1,mo,m7,x,mo-m7,MO,D
12/03/2016,Missouri M8 Engineering Zone,Missouri,Meet,1,mo,m8,x,mo-m8,MO,D
12/03/2016,Missouri M9 NDHS Robofest,Missouri,Meet,1,mo,m9,x,mo-m9,MO,D
12/10/2016,Missouri M10 Roboteer Cadets,Missouri,Meet,1,mo,m10,x,mo-m10,MO,D
12/10/2016,Missouri M11 Kicking it with the Mules,Missouri,Meet,1,mo,m11,x,mo-m11,MO,D
12/10/2016,Missouri M12 STLCC Wildwood Botshow,Missouri,Meet,1,mo,m12,x,mo-m12,MO,D
01/07/2017,Missouri M13 St. Teresa's Academy,Missouri,Meet,1,mo,m13,x,mo-m13,MO,D
01/14/2017,Missouri M15 Rocking Robotics,Missouri,Meet,1,mo,m15,x,mo-m15,MO,D
01/18/2017,Missouri M16 Mid MO,Missouri,Meet,1,mo,m16,x,mo-m16,MO,D
01/21/2017,Missouri M17 Bombers Joebotics,Missouri,Meet,1,mo,m17,x,mo-m17,MO,D
01/22/2017,Missouri M18 MIDCS,Missouri,Meet,1,mo,m18,x,mo-m18,MO,D
01/28/2017,Missouri M19 Girl Scouts,Missouri,Meet,1,mo,m19,x,mo-m19,MO,D
01/28/2017,Missouri M20 Glendale,Missouri,Meet,1,mo,m20,x,mo-m20,MO,D
01/28/2017,Missouri M21 Olathe Northwest,Missouri,Meet,1,mo,m21,x,mo-m21,MO,D
01/28/2017,Missouri M22 Pattonville,Missouri,Meet,1,mo,m22,x,mo-m22,MO,D
02/04/2017,Missouri M23 Science Center Botshow,Missouri,Meet,1,mo,m23,x,mo-m23,MO,D
12/03/2016,Missouri Florissant Valley,Missouri,Qualifying Tournament,1,mo,q1,x,mo-q1,MO,D
12/10/2016,Missouri Smithville,Missouri,Qualifying Tournament,1,mo,q2,x,mo-q2,MO,D
12/17/2016,Missouri Camdenton,Missouri,Qualifying Tournament,1,mo,q3,x,mo-q3,MO,D
01/07/2017,Missouri Meramec,Missouri,Qualifying Tournament,1,mo,q4,x,mo-q4,MO,D
01/21/2017,Missouri Blue Valley,Missouri,Qualifying Tournament,1,mo,q5,x,mo-q5,MO,D
01/29/2017,Missouri SEMO,Missouri,Qualifying Tournament,1,mo,q6,x,mo-q6,MO,D
02/11/2017,Missouri Selvidge,Missouri,Qualifying Tournament,1,mo,q7,x,mo-q7,MO,D
02/18/2017,Missouri CQ1 West Conference,Missouri,Qualifying Tournament,1,mo,cq1,x,mo-cq1,MO,D
02/18/2017,Missouri CQ2 East Conference,Missouri,Qualifying Tournament,1,mo,cq2,x,mo-cq2,MO,D
03/04/2017,Missouri Championship,Missouri,Championship,1,mo,cmpd1,d1,mo-cmpd1,MO,D
03/04/2017,Missouri Championship,Missouri,Championship,2,mo,cmpd2,d2,mo-cmpd2,MO,D
12/10/2016,New York NYC John Dewey 1,New York NYC,Qualifying Tournament,1,nynyc,jd1,x,nynyc-jd1,NY,D
12/11/2016,New York NYC John Dewey 2,New York NYC,Qualifying Tournament,1,nynyc,jd2,x,nynyc-jd2,NY,D
01/14/2017,New York NYC Francis Lewis 1,New York NYC,Qualifying Tournament,1,nynyc,fl1,x,nynyc-fl1,NY,D
01/15/2017,New York NYC Francis Lewis 2,New York NYC,Qualifying Tournament,1,nynyc,fl2,x,nynyc-fl2,NY,D
02/18/2017,New York NYC Dalton 1,New York NYC,Qualifying Tournament,1,nynyc,da1,x,nynyc-da1,NY,D
02/19/2017,New York NYC Dalton 2,New York NYC,Qualifying Tournament,1,nynyc,da2,x,nynyc-da2,NY,D
02/25/2017,Florida Championship,Florida,Championship,1,fl,cmp,x,fl-cmp,FL,D
12/17/2016,Florida NEFL M1,Florida,Meet,1,fl,ne1,x,fl-ne1,FL,D
01/07/2017,Florida NEFL M2,Florida,Meet,1,fl,ne2,x,fl-ne2,FL,D
01/21/2017,Florida NEFL League Championship,Florida,League Championship,1,fl,nelcmp,x,fl-nelcmp,FL,D
11/09/2016,Florida NEFL Match Play 1,Florida,Meet,1,fl,nemp1,x,fl-nemp1,FL,D
12/02/2016,Florida NEFL Match Play 2,Florida,Meet,1,fl,nemp2,x,fl-nemp2,FL,D
11/12/2016,Florida Palm Beach M1a,Florida,Meet,1,fl,pb1a,x,fl-pb1a,FL,D
11/12/2016,Florida Palm Beach M1b,Florida,Meet,1,fl,pb1b,x,fl-pb1b,FL,D
11/12/2016,Florida Palm Beach M1c,Florida,Meet,1,fl,pb1c,x,fl-pb1c,FL,D
12/17/2016,Florida Palm Beach M2a,Florida,Meet,1,fl,pb2a,x,fl-pb2a,FL,D
12/17/2016,Florida Palm Beach M2b,Florida,Meet,1,fl,pb2b,x,fl-pb2b,FL,D
01/07/2017,Florida Palm Beach M3,Florida,Meet,1,fl,pb3,x,fl-pb3,FL,D
01/28/2017,Florida Palm Beach League Championship,Florida,League Championship,1,fl,pblcmp,x,fl-pblcmp,FL,D
